7	295	1	295																											
			Wild																											
PG4	Wild	176	176	237	237	174	176	102	154	266	266	192	215	0	0															
PG5	Wild	176	176	209	279	158	203	102	154	153	204	278	278	85	85															
PG6	Wild	154	154	209	237	174	203	102	102	208	208	215	215	99	101															
PG7	Wild	176	176	209	279	176	203	102	102	202	208	204	204	99	111															
PG8	Wild	176	176	209	279	158	201	144	144	153	168	217	217	85	85															
PG9	Wild	176	176	205	279	156	176	102	102	168	168	217	270	111	111															
PG10	Wild	154	154	209	279	174	203	102	102	153	266	0	0	85	99															
PG11	Wild	176	178	257	279	176	176	0	0	202	204	221	272	99	111															
PG12	Wild	154	154	239	271	176	176	102	102	168	208	206	268	85	85															
PG13	Wild	154	176	209	279	176	203	102	102	204	208	270	270	99	99															
PG14	Wild	176	176	237	237	174	178	102	102	204	208	270	270	95	95															
PG15	Wild	176	176	205	239	158	176	102	102	153	204	206	217	111	111															
PG16	Wild	176	176	237	237	122	176	0	0	208	266	217	223	0	0															
PG17	Wild	0	0	209	209	176	176	154	154	0	0	0	278	99	111															
PG18	Wild	154	154	209	209	203	203	102	102	202	208	204	204	85	99															
PG19	Wild	176	178	279	279	158	176	102	102	153	208	221	272	99	111															
PG20	Wild	176	178	209	209	156	229	102	102	153	153	163	217	85	101															
PG21	Wild	176	178	279	279	176	184	0	0	204	206	233	270	99	99															
PG22	Wild	176	176	279	279	158	174	130	154	153	153	206	272	85	95															
PG23	Wild	154	176	279	279	146	174	102	154	208	208	0	0	111	111															
PG24	Wild	176	176	237	237	174	178	102	102	204	208	270	270	95	95															
PG25	Wild	178	178	209	289	156	174	102	110	186	202	192	215	99	99															
IG1	Wild	172	176	209	251	156	203	0	0	153	153	163	280	85	95															
IG2	Wild	176	176	277	277	156	156	0	0	153	153	217	217	95	95															
IG3	Wild	172	180	0	0	146	156	0	0	208	208	163	215	99	111															
IG4	Wild	176	176	279	279	156	201	0	0	153	266	215	215	0	0															
IG5	Wild	176	180	223	223	146	156	0	0	0	0	163	163	111	115															
IG6	Wild	176	176	275	275	156	217	0	0	208	208	163	221	111	111															
IG7	Wild	154	180	275	275	156	184	0	0	153	153	163	223	111	111															
IG8	Wild	176	176	209	209	156	160	0	0	202	202	192	215	0	0															
IG9	Wild	176	176	223	223	156	156	0	0	0	0	163	217	115	115															
IG10	Wild	176	176	251	251	156	156	0	0	0	0	217	217	95	95															
BP2	Wild	0	0	0	0	174	217	102	110	204	208	192	215	99	99															
BP3	Wild	0	0	223	223	186	186	102	110	153	153	217	217	0	0															
BP5	Wild	0	0	223	223	172	186	110	110	204	204	163	217	99	99															
BP7	Wild	0	0	223	223	186	217	102	154	208	208	163	215	0	0															
BP8	Wild	176	176	223	223	158	186	110	110	204	204	215	280	95	99															
BP9	Wild	0	0	209	209	146	176	110	154	204	204	192	217	99	111															
BP10	Wild	154	176	237	237	158	176	102	154	204	204	215	280	99	99															
BP11	Wild	0	0	223	223	122	186	102	102	153	202	163	278	0	0															
BP14	Wild	172	172	279	279	158	174	102	110	204	208	192	278	99	99															
BP15	Wild	172	176	223	223	160	217	102	130	216	218	163	282	99	99															
BP16	Wild	176	176	223	223	122	186	102	102	153	208	163	206	0	0															
BP17	Wild	176	176	223	223	156	174	102	102	204	208	192	276	95	99															
BP18	Wild	0	0	223	223	176	186	102	102	208	208	192	217	99	109															
BP19	Wild	172	172	223	223	158	174	102	110	204	204	215	278	99	99															
BP21	Wild	176	176	223	223	186	217	110	110	204	204	217	280	99	99															
BP22	Wild	176	176	279	279	176	201	102	110	153	196	194	194	99	99															
BP23	Wild	0	0	223	223	176	176	102	102	196	204	192	192	99	99															
BP25	Wild	0	0	255	255	154	176	0	0	208	208	217	280	85	91															
BP26	Wild	176	176	0	0	0	0	0	0	153	208	194	215	111	111															
RW1	Wild	0	0	223	223	154	176	102	154	208	208	268	268	91	103															
RW2	Wild	176	176	231	231	203	229	130	130	202	208	217	217	0	0															
RW3	Wild	176	176	231	231	176	201	130	130	186	204	270	270	91	99															
RW4	Wild	0	0	0	0	144	160	158	158	202	208	215	268	91	99															
RW5	Wild	0	0	0	0	144	160	0	0	202	208	215	268	91	99															
RW6	Wild	0	0	223	223	144	176	102	102	202	202	215	278	0	0															
RW7	Wild	172	172	209	279	174	176	102	130	153	208	163	192	115	115															
RW8	Wild	0	0	223	223	144	164	102	102	202	208	221	221	0	0															
RW9	Wild	176	176	205	247	154	160	130	158	208	208	221	278	91	91															
RW10	Wild	176	176	223	223	176	229	130	158	186	208	217	217	0	0															
RW11	Wild	176	176	209	209	122	186	102	102	204	208	221	221	111	111															
RW12	Wild	172	176	209	209	174	201	102	130	186	208	192	270	91	91															
RW13	Wild	178	178	205	205	176	176	102	154	208	208	0	0	91	91															
RW14	Wild	172	172	209	209	144	176	102	158	153	202	217	217	0	0															
RW15	Wild	176	176	209	209	122	170	102	102	208	208	217	217	0	0															
RW16	Wild	154	176	231	231	156	176	102	0	186	208	217	268	91	99															
RW17	Wild	176	176	255	255	154	176	102	130	208	208	217	217	85	91															
RW18	Wild	0	0	209	231	144	160	102	158	208	208	217	268	99	99															
RW19	Wild	176	176	209	255	176	176	102	158	153	208	268	268	111	111															
RW20	Wild	176	176	247	247	154	229	130	130	202	202	217	217	85	99															
RW21	Wild	0	0	231	279	144	160	102	158	202	208	217	268	0	0															
RW22	Wild	176	176	205	205	154	176	102	154	202	208	221	278	0	0															
RW23	Wild	0	0	209	209	144	176	130	130	153	208	163	219	115	115															
RW24	Wild	176	176	209	209	174	176	102	154	202	202	192	217	91	91															
RW25	Wild	0	0	255	255	176	176	102	102	208	208	219	219	99	111															
HR1	Wild	176	176	209	209	176	176	0	0	208	208	163	217	111	111															
HR2	Wild	0	0	209	223	158	158	102	102	208	208	221	278	95	95															
HR3	Wild	176	176	223	223	174	199	102	102	153	186	272	272	0	0															
HR4	Wild	176	178	277	289	144	203	102	154	208	208	221	278	99	99															
HR5	Wild	150	176	231	231	144	158	158	158	186	208	221	278	99	99															
HR6	Wild	154	176	209	241	156	174	154	154	186	208	206	225	111	111															
HR7	Wild	0	0	223	251	201	201	158	158	186	186	163	219	111	111															
HR8	Wild	150	176	205	209	172	176	158	158	202	202	163	223	95	111															
HR9	Wild	176	176	209	209	122	122	154	154	208	208	223	223	95	95															
HR10	Wild	176	176	209	209	160	172	154	154	208	208	206	221	95	111															
HR11	Wild	0	0	277	277	156	203	102	102	153	208	223	223	99	101															
HR12	Wild	178	178	223	277	174	203	102	102	208	208	221	270	101	101															
HR13	Wild	0	0	209	209	144	146	102	102	208	208	206	206	101	101															
HR14	Wild	154	178	223	289	144	146	102	154	153	153	192	219	85	85															
HR15	Wild	176	176	209	251	156	156	102	154	208	270	163	278	101	101															
HR16	Wild	176	176	205	205	156	203	0	0	208	208	206	272	101	101															
HR17	Wild	176	176	223	223	146	174	102	102	153	208	221	272	101	101															
HR18	Wild	176	176	281	281	156	199	102	154	0	0	217	272	101	101															
HR19	Wild	176	176	241	241	176	178	102	154	186	208	223	272	111	111															
HR20	Wild	172	172	223	223	178	199	0	0	208	208	217	270	101	101															
HR21	Wild	176	176	205	209	172	203	102	102	208	208	206	272	91	101															
HR22	Wild	176	178	209	289	144	203	154	154	208	210	219	278	111	111															
HR23	Wild	176	176	223	223	172	174	102	102	168	168	217	217	101	101															
HR24	Wild	176	176	209	209	172	172	102	154	168	168	215	270	0	0															
HR25	Wild	178	178	209	289	144	207	102	154	0	0	219	276	85	101															
BH1	Wild	176	176	283	283	174	201	102	102	204	208	206	282	109	109															
BH2	Wild	176	176	0	0	156	176	102	110	208	208	163	217	0	0															
BH3	Wild	176	176	279	279	122	148	130	158	202	208	215	221	111	111															
BH4	Wild	180	180	209	209	122	176	102	130	153	153	194	219	85	85															
BH5	Wild	154	176	237	279	176	201	102	102	153	204	194	270	95	95															
BH6	Wild	154	154	237	237	176	201	130	130	153	204	221	270	111	111															
BH7	Wild	180	180	279	279	122	156	102	102	153	204	194	276	0	0															
BH8	Wild	176	176	209	279	156	156	102	102	153	153	221	272	111	111															
BH9	Wild	150	176	279	279	122	122	102	102	204	208	163	163	95	95															
BH10	Wild	154	176	205	205	176	176	130	130	153	153	206	272	85	85															
BH11	Wild	154	154	209	209	158	158	102	102	153	153	219	272	0	0															
BH12	Wild	154	154	223	223	122	146	102	130	153	153	221	233	99	99															
BH13	Wild	154	176	223	223	176	176	102	130	153	153	163	217	111	111															
BH14	Wild	176	176	0	0	176	203	102	102	153	153	217	272	0	0															
BH15	Wild	150	150	0	0	158	172	0	0	153	153	215	215	0	0															
BH16	Wild	176	176	0	0	174	201	102	102	204	208	219	276	99	99															
BH17	Wild	154	154	0	0	156	176	102	102	153	208	163	272	101	101															
BH18	Wild	176	176	205	205	122	176	130	130	153	204	163	194	85	123															
BH19	Wild	150	176	0	0	172	174	130	158	153	153	219	219	0	0															
BH20	Wild	154	154	0	0	176	201	154	158	153	153	163	163	0	0															
BH21	Wild	154	154	205	209	122	176	0	0	153	208	194	217	111	111															
BH22	Wild	176	176	277	277	144	156	102	102	153	153	192	272	0	0															
BH23	Wild	0	0	223	223	176	207	130	130	208	208	163	270	99	99															
BH24	Wild	176	176	205	223	148	197	102	130	153	202	163	215	99	99															
BH25	Wild	176	176	223	223	176	197	102	130	153	153	163	163	95	95															
BH26	Wild	154	180	223	279	158	166	102	102	208	208	163	225	85	85															
BH27	Wild	154	176	223	279	148	158	102	102	204	208	194	215	85	85															
BH28	Wild	154	176	223	279	176	201	102	102	202	208	217	227	85	85															
M1	Wild	176	176	306	306	122	186	0	0	153	153	192	221	111	111															
M2	Wild	176	176	306	306	122	166	158	158	202	202	192	219	99	111															
M3	Wild	0	0	289	289	154	166	102	154	153	153	219	219	0	0															
M4	Wild	176	176	209	289	166	176	154	154	153	186	192	192	103	103															
M5	Wild	176	176	275	289	158	166	102	102	153	208	223	274	95	95															
M6	Wild	154	176	239	277	144	176	102	158	153	153	192	219	0	0															
M7	Wild	178	178	0	0	174	233	102	102	153	208	206	215	91	91															
M8	Wild	176	176	209	209	174	205	102	102	301	301	219	268	91	111															
M9	Wild	0	0	0	0	174	184	130	154	301	301	211	223	91	99															
M10	Wild	176	176	251	251	166	174	102	154	153	153	206	217	85	85															
M11	Wild	176	176	209	281	174	205	154	154	153	208	192	206	99	99															
M12	Wild	172	172	0	0	174	174	154	154	266	266	206	217	99	99															
M13	Wild	176	176	0	0	176	186	130	130	208	264	206	206	95	95															
M14	Wild	0	0	287	287	174	201	110	154	153	153	217	231	99	99															
M15	Wild	176	176	0	0	176	219	154	154	202	208	0	282	95	95															
M17	Wild	150	176	209	209	203	217	102	102	153	153	206	206	99	99															
M18	Wild	0	0	0	0	160	174	152	152	153	153	219	219	91	91															
M19	Wild	176	176	251	281	166	166	154	158	153	202	192	206	95	95															
M20	Wild	0	0	239	239	146	184	102	102	202	202	217	217	103	103															
M21	Wild	0	0	209	289	176	184	102	102	153	153	223	223	93	101															
M22	Wild	176	176	223	275	174	201	102	154	153	204	221	272	99	99															
M23	Wild	176	176	306	306	186	186	154	158	153	153	192	206	95	111															
M24	Wild	180	180	281	281	176	184	102	102	153	204	206	270	85	95															
M25	Wild	0	0	251	275	146	156	102	154	208	208	219	272	111	111															
M26	Wild	154	176	279	289	144	176	110	110	153	208	192	221	95	109															
M27	Wild	0	0	237	275	174	203	102	154	206	206	192	229	99	99															
M28	Wild	176	176	295	295	176	176	102	102	153	153	0	0	99	99															
M29	Wild	172	172	223	251	174	176	150	150	208	208	198	219	95	95															
M30	Wild	176	176	209	209	156	217	130	130	301	301	163	163	0	0															
M31	Wild	172	176	0	0	156	178	102	102	208	208	206	219	85	85															
CE1	Wild	154	154	209	251	122	174	102	102	0	0	163	215	99	111															
CE4	Wild	154	154	0	0	174	174	150	158	208	208	270	270	0	0															
CE8	Wild	176	176	209	237	156	203	102	154	186	204	163	225	95	111															
CE10	Wild	154	176	0	0	132	174	154	154	204	204	0	223	103	103															
CE12	Wild	154	176	251	251	156	176	154	158	153	153	163	163	0	0															
CE15	Wild	178	180	251	251	174	201	0	0	0	0	268	268	95	109															
CE17	Wild	176	176	261	261	122	174	130	130	204	208	221	231	85	85															
CE20	Wild	154	176	209	209	164	203	102	102	0	0	192	192	99	99															
CE21	Wild	154	178	253	261	158	158	102	102	202	208	270	270	0	0															
CE22	Wild	154	176	209	251	132	158	102	102	204	208	215	215	0	0															
CE24	Wild	176	176	209	231	158	172	102	102	200	208	0	221	0	0															
CE27	Wild	154	154	231	251	166	174	102	102	153	204	217	217	99	103															
CE28	Wild	154	172	231	231	176	176	102	102	202	208	270	270	91	111															
CE29	Wild	178	178	251	251	174	174	102	102	204	204	268	268	99	99															
CE32	Wild	154	176	229	231	144	176	102	102	153	208	215	215	111	111															
CE33	Wild	154	176	279	279	154	178	102	154	168	202	231	231	111	111															
CE34	Wild	154	176	235	251	132	174	102	102	186	208	221	266	99	99															
CE35	Wild	154	154	251	251	122	122	102	102	301	301	217	217	99	99															
CE37	Wild	176	176	0	0	176	176	148	148	153	153	163	272	99	99															
CE40	Wild	176	176	251	251	156	180	102	102	208	208	163	163	103	103															
CE41	Wild	176	176	253	253	203	229	102	102	208	208	192	192	109	109															
CE42	Wild	176	176	209	209	154	229	102	102	204	208	163	217	0	0															
CE44	Wild	154	154	0	0	178	178	102	154	202	204	221	221	0	0															
CE45	Wild	154	176	251	251	122	176	102	102	204	208	270	270	111	111															
CE46	Wild	170	170	209	209	154	176	154	154	153	204	163	215	111	111															
CE48	Wild	154	176	0	0	156	174	154	154	153	153	163	266	111	111															
CE50	Wild	154	154	209	209	156	203	102	102	204	204	163	270	85	111															
CE51	Wild	154	154	281	281	156	176	102	102	153	202	225	272	99	111															
CE52	Wild	154	154	209	231	203	203	102	102	153	153	0	0	95	111															
CE53	Wild	154	154	251	251	172	203	102	102	204	204	0	280	91	99															
YW1	Wild	172	176	277	277	168	176	102	102	186	186	0	0	99	99															
YW2	Wild	0	0	223	223	166	176	102	102	206	208	215	266	111	111															
YW3	Wild	176	176	277	277	156	184	102	154	204	204	163	215	95	99															
YW4	Wild	176	176	223	277	166	186	102	152	153	153	163	268	91	99															
YW5	Wild	0	0	237	237	154	166	102	154	153	153	215	276	95	95															
YW6	Wild	176	176	209	209	158	203	102	102	208	208	268	268	99	99															
YW7	Wild	176	176	279	279	168	203	102	152	204	210	163	268	99	99															
YW8	Wild	0	0	209	209	158	184	102	152	153	208	215	231	0	0															
YW9	Wild	0	0	281	281	174	188	102	102	153	208	219	270	99	111															
YW10	Wild	154	180	237	251	162	174	0	0	0	0	206	217	85	95															
YW11	Wild	0	0	209	237	164	172	154	154	153	206	0	0	95	95															
YW12	Wild	176	176	209	261	172	174	102	102	202	202	280	280	99	99															
YW13	Wild	176	176	223	237	166	203	102	154	0	0	217	217	97	111															
YW14	Wild	0	0	257	257	166	203	102	156	153	204	217	217	85	85															
YW15	Wild	176	176	223	251	156	174	102	156	153	202	206	206	111	111															
YW16	Wild	154	154	251	251	156	184	102	102	202	202	163	268	95	111															
YW17	Wild	176	176	223	251	166	184	0	0	208	210	0	221	95	95															
YW18	Wild	176	176	251	251	162	166	102	102	206	266	0	282	91	91															
YW19	Wild	176	176	209	223	166	166	102	102	266	266	206	206	101	111															
YW20	Wild	154	154	231	231	172	205	0	0	153	266	163	163	99	99															
WP1	Wild	154	154	275	289	146	156	102	154	153	153	217	276	0	0															
WP2	Wild	154	154	223	223	156	203	110	110	204	208	192	192	111	111															
WP3	Wild	176	176	277	277	144	166	0	0	153	208	192	192	0	0															
WP4	Wild	176	176	205	205	156	164	102	102	204	204	0	0	97	111															
WP5	Wild	0	0	205	205	120	176	102	154	153	264	217	217	0	0															
WP6	Wild	0	0	209	209	176	201	102	102	206	216	0	221	95	111															
WP7	Wild	0	0	205	277	120	156	102	154	208	264	217	276	95	95															
WP8	Wild	176	176	205	205	154	158	102	102	206	266	221	221	95	111															
WP9	Wild	176	176	205	237	122	203	102	154	153	204	204	215	95	95															
WP10	Wild	176	178	209	209	166	203	0	0	153	153	0	0	95	95															
WP11	Wild	176	176	205	205	158	201	102	102	204	206	192	215	95	95															
WP12	Wild	176	176	209	251	154	203	0	0	208	216	215	272	95	111															
WP13	Wild	176	176	209	209	154	176	102	102	216	266	0	221	99	111															
WP14	Wild	176	176	209	209	164	176	0	0	153	204	0	0	0	0															
BW1	Wild	154	154	291	291	158	158	102	158	153	208	192	217	111	111															
BW2	Wild	176	176	251	251	176	201	102	102	153	208	206	217	91	91															
BW3	Wild	154	176	209	231	142	199	154	154	0	0	163	217	0	0															
BW4	Wild	154	172	209	263	203	231	102	148	153	208	280	280	91	91															
BW5	Wild	154	154	231	231	156	201	102	102	204	208	0	0	85	85															
BW6	Wild	154	176	237	237	174	201	102	150	208	208	215	215	0	0															
BW7	Wild	172	176	241	241	144	156	102	154	204	208	217	270	99	99															
BW8	Wild	176	176	0	0	146	184	154	154	208	208	215	215	95	111															
BW9	Wild	154	154	209	237	176	176	102	148	208	208	208	208	85	85															
BW10	Wild	176	178	209	237	176	207	102	158	264	264	0	0	95	111															
BW11	Wild	176	176	283	283	158	184	130	130	202	208	206	206	85	85															
BW12	Wild	154	176	209	209	186	186	154	154	153	153	215	215	0	0															
BW13	Wild	154	154	237	237	122	174	130	154	202	208	217	270	101	101															
BW14	Wild	154	176	237	261	158	166	102	154	168	168	163	163	109	109															
BW15	Wild	176	176	209	263	158	176	102	102	202	208	268	268	111	111															
BW16	Wild	176	176	237	237	156	156	102	102	202	202	163	268	95	95															
BW17	Wild	172	172	0	0	144	156	152	154	202	264	206	206	95	99															
BW18	Wild	154	176	0	0	156	174	102	158	208	208	163	206	111	111															
BW19	Wild	154	176	279	279	122	122	102	102	153	202	163	217	91	91															
BW20	Wild	172	176	231	277	156	174	102	102	186	208	163	215	85	91															
BW21	Wild	154	176	223	223	158	178	102	154	202	208	163	221	113	115															
BW22	Wild	154	172	237	261	174	229	102	152	202	202	163	268	99	111															
BW23	Wild	176	176	281	281	122	178	102	102	0	0	163	268	85	95															
BW24	Wild	154	172	0	0	176	186	102	154	202	202	223	270	95	95															
BW25	Wild	154	176	231	231	156	229	102	102	0	0	206	206	0	0															
CH1	Wild	0	0	223	223	174	186	102	102	204	204	206	225	0	0															
CH2	Wild	176	176	251	289	158	176	102	102	153	208	213	213	99	99															
CH3	Wild	176	176	289	289	122	158	102	154	150	150	217	217	0	0															
CH4	Wild	154	154	0	0	174	174	154	154	153	153	213	227	0	0															
CH5	Wild	176	176	237	289	154	174	102	102	153	153	163	163	0	0															
CH6	Wild	154	176	223	289	174	199	102	102	186	186	280	280	111	111															
CH7	Wild	176	176	209	251	174	188	102	102	153	208	225	225	99	99															
CH8	Wild	176	176	289	289	174	186	102	102	204	208	213	225	111	111															
CH9	Wild	176	176	209	209	174	203	148	154	153	153	192	217	99	111															
CH10	Wild	176	176	209	209	174	174	102	154	206	206	0	0	111	111															
CH11	Wild	176	176	205	205	184	201	102	102	208	208	163	206	95	95															
CH12	Wild	0	0	209	251	174	188	102	102	153	153	206	225	99	99															
CH13	Wild	176	176	205	279	146	176	102	154	204	208	0	0	101	101															
CH14	Wild	176	176	205	209	122	176	154	154	204	208	227	227	0	0															
CH17	Wild	0	0	0	0	158	176	154	154	206	206	0	213	111	111															
CH18	Wild	176	176	205	277	0	0	102	154	208	208	206	206	111	111															
CH19	Wild	176	176	223	277	158	174	152	154	153	206	0	0	95	111															
CH20	Wild	172	172	237	237	158	186	102	102	153	153	163	280	111	111															
CH21	Wild	180	180	289	289	158	176	102	102	153	153	206	270	0	0															
CH22	Wild	176	176	0	0	122	174	102	154	204	204	206	225	101	101															
